dates,distance,parcel_size,parcel_weights,traffic_levels,weather_conditions,sequence_in_delivery,delivery_time_window
2024-07-08,67.28,large,2.57,high,sunny,11.0,morning
2024-03-27,15.02,large,42.86,high,snowy,18.0,afternoon
2024-05-16,73.85,medium,2.67,high,rainy,92.0,evening
2024-01-26,64.92,medium,38.26,high,snowy,87.0,evening
2024-06-10,97.15,small,14.71,medium,sunny,72.0,afternoon
2024-08-12,91.21,medium,20.22,medium,sunny,93.0,evening
2023-09-26,29.05,medium,29.11,low,rainy,52.0,afternoon
2024-01-23,3.7,medium,11.62,low,rainy,74.0,afternoon
2023-12-04,65.88,small,4.3,medium,sunny,46.0,afternoon
2024-03-26,60.69,small,47.88,low,sunny,12.0,morning
2024-05-01,3.72,small,41.5,low,sunny,30.0,morning
2024-08-28,13.15,small,38.09,low,sunny,63.0,afternoon
2024-03-06,58.89,medium,26.96,high,sunny,95.0,evening
2024-05-29,91.27,small,32.06,medium,rainy,64.0,afternoon
2024-05-18,90.74,medium,43.29,low,sunny,25.0,morning
2024-04-22,16.0,small,19.75,low,sunny,64.0,morning
2023-11-24,39.07,medium,5.68,high,sunny,23.0,afternoon
2024-04-20,5.28,large,42.13,medium,foggy,59.0,afternoon
2024-03-20,47.46,small,3.61,medium,rainy,6.0,morning
2024-02-06,75.56,medium,45.97,medium,sunny,71.0,afternoon
2024-08-07,79.21,medium,36.24,medium,rainy,81.0,evening
2024-08-25,50.4,small,22.55,low,sunny,77.0,afternoon
2024-05-23,10.49,small,30.96,medium,snowy,68.0,afternoon
2024-03-27,38.76,medium,26.98,medium,snowy,13.0,afternoon
2024-02-10,93.28,large,20.38,low,sunny,93.0,afternoon
2024-09-10,23.73,small,6.86,medium,snowy,45.0,afternoon
2024-04-18,32.66,large,40.51,high,rainy,70.0,afternoon
2023-10-14,74.94,medium,29.59,low,rainy,53.0,afternoon
2023-09-21,73.62,medium,35.28,medium,rainy,3.0,morning
2023-12-17,91.31,large,10.82,medium,snowy,44.0,afternoon
2024-02-07,39.42,small,10.46,medium,snowy,7.0,afternoon
2024-08-08,51.95,medium,42.03,low,foggy,79.0,afternoon
2024-07-20,47.27,small,27.59,high,rainy,8.0,morning
2024-03-07,92.85,small,22.92,low,rainy,28.0,morning
2024-08-27,77.16,large,5.12,medium,snowy,70.0,evening
2024-09-19,83.31,medium,21.6,high,rainy,49.0,evening
2024-08-29,14.18,small,35.33,high,rainy,53.0,afternoon
2024-07-17,79.39,small,5.63,medium,sunny,5.0,morning
2024-05-15,43.86,small,1.94,medium,rainy,81.0,afternoon
2024-07-31,3.31,medium,27.88,low,sunny,86.0,afternoon
2023-12-11,6.95,large,16.15,low,snowy,22.0,morning
2024-08-31,68.11,large,45.35,high,rainy,31.0,afternoon
2024-01-03,37.83,medium,29.83,medium,sunny,95.0,afternoon
2023-10-23,86.94,large,15.37,low,foggy,37.0,afternoon
2024-07-20,73.69,large,16.04,high,sunny,99.0,afternoon
2024-07-28,3.15,large,6.89,medium,snowy,11.0,morning
2024-05-02,69.0,large,22.16,high,snowy,38.0,afternoon
2024-04-21,20.04,large,3.89,medium,rainy,29.0,morning
2024-01-27,42.84,small,22.31,medium,foggy,3.0,morning
2023-10-22,62.85,medium,6.47,low,foggy,50.0,morning
2024-04-22,87.4,small,34.02,high,sunny,36.0,afternoon
2023-10-02,46.15,small,32.73,low,rainy,78.0,afternoon
2024-08-27,81.04,medium,42.0,low,foggy,41.0,morning
2024-06-18,78.51,small,46.16,low,foggy,14.0,morning
2023-11-02,42.04,large,32.87,high,snowy,39.0,afternoon
2024-03-10,50.6,small,8.14,medium,sunny,6.0,morning
2024-04-10,70.35,medium,25.66,high,sunny,22.0,afternoon
2024-03-10,4.08,small,47.09,low,sunny,57.0,morning
2024-03-30,89.19,large,10.36,high,foggy,96.0,afternoon
2024-05-10,77.21,medium,19.77,low,rainy,62.0,afternoon
2023-10-07,25.69,small,37.53,high,sunny,60.0,afternoon
2024-06-02,98.14,large,38.28,medium,foggy,73.0,afternoon
2024-03-04,18.76,medium,47.5,low,sunny,67.0,afternoon
2023-09-21,91.49,medium,12.73,medium,sunny,27.0,afternoon
2024-02-25,33.12,large,42.99,medium,sunny,79.0,afternoon
2024-02-08,76.55,medium,3.1,medium,snowy,34.0,afternoon
2024-04-28,46.18,medium,7.72,low,foggy,19.0,morning
2024-08-01,73.91,small,47.18,low,sunny,20.0,morning
2023-09-24,16.42,large,44.1,low,rainy,63.0,afternoon
2024-07-03,27.68,small,3.52,low,sunny,33.0,morning
2024-06-25,10.89,small,3.85,low,sunny,7.0,morning
2024-05-05,86.65,small,17.92,low,rainy,34.0,morning
2024-02-05,30.33,large,20.3,high,sunny,22.0,afternoon
2023-12-18,69.75,medium,23.66,high,sunny,24.0,afternoon
2024-07-24,82.2,large,27.65,high,sunny,33.0,afternoon
2024-04-30,90.24,medium,6.97,low,snowy,4.0,morning
2024-02-19,11.52,large,49.33,low,rainy,16.0,morning
2024-07-08,89.41,medium,47.91,medium,snowy,28.0,afternoon
2024-08-30,20.53,small,20.74,medium,rainy,25.0,morning
2024-04-23,73.95,small,24.64,low,sunny,79.0,afternoon
2024-05-19,73.16,medium,18.48,medium,sunny,42.0,morning
2023-11-03,1.84,small,32.71,low,sunny,90.0,afternoon
2024-02-11,22.84,large,35.12,medium,sunny,80.0,afternoon
2024-05-01,49.7,large,27.0,low,rainy,10.0,morning
2024-08-06,42.58,large,46.25,low,sunny,5.0,morning
2024-03-07,91.94,medium,17.66,low,sunny,70.0,afternoon
2023-12-10,36.61,medium,13.37,low,snowy,51.0,morning
2024-06-04,93.76,large,32.96,low,rainy,7.0,morning
2024-05-04,46.48,medium,8.55,low,foggy,30.0,morning
2024-06-16,96.47,large,29.07,low,rainy,13.0,morning
2024-07-19,74.0,small,16.5,high,sunny,86.0,evening
2023-12-26,83.1,small,7.3,medium,snowy,46.0,evening
2024-07-26,11.38,small,16.16,low,rainy,5.0,morning
2024-04-30,59.03,large,10.53,low,rainy,37.0,morning
2024-05-13,15.13,medium,31.66,medium,sunny,32.0,morning
2023-12-18,30.46,large,3.06,medium,sunny,23.0,morning
2024-02-01,62.73,large,41.01,low,foggy,68.0,afternoon
2023-12-26,72.9,large,29420.01,medium,rainy,34.0,afternoon
2024-03-10,4.88,small,42.93,low,sunny,,morning
2024-03-04,53.56,small,8.43,low,rainy,83.0,afternoon
2024-07-12,56.97,small,23.88,high,snowy,55.0,evening
2024-03-01,8.8,large,33.56,low,snowy,79.0,afternoon
2024-09-08,50.57,medium,7.72,medium,sunny,46.0,afternoon
2024-04-06,71.67,medium,1.19,medium,sunny,58.0,
2023-09-26,6.27,medium,47.18,low,rainy,15.0,morning
2024-03-01,76.27,medium,39.15,medium,rainy,41.0,afternoon
2023-12-22,58.07,medium,39.22,low,sunny,78.0,afternoon
2023-09-26,83.49,medium,46.07,low,rainy,44.0,afternoon
2024-05-20,22.59,large,29.12,low,rainy,68.0,afternoon
2024-09-08,83.49,small,32.26,high,foggy,75.0,afternoon
2024-02-17,10.36,medium,10.84,low,sunny,64.0,morning
2023-09-22,40.98,small,23.78,low,rainy,26.0,morning
2024-07-08,20.75,large,8.3,low,foggy,40.0,morning
2024-05-29,87.73,medium,5.39,high,rainy,86.0,evening
2024-07-20,70.79,small,13.14,medium,rainy,57.0,afternoon
2024-05-02,3.51,large,23.25,low,sunny,35.0,morning
2024-01-27,1.94,large,32.09,low,sunny,4.0,morning
2024-02-19,29.83,medium,25.46,medium,snowy,93.0,evening
2024-01-13,15.19,small,44.78,low,sunny,67.0,morning
2023-11-19,63.4,medium,16.68,high,rainy,14.0,morning
2024-02-16,66.72,medium,42.42,low,,51.0,afternoon
2024-01-10,94253.14,medium,22.07,low,rainy,97.0,afternoon
2023-10-22,95.25,medium,7.33,high,sunny,47.0,afternoon
2024-07-03,66.23,large,43.36,medium,sunny,35.0,afternoon
2024-08-23,1.56,large,24.72,low,sunny,86.0,afternoon
2024-06-14,36.54,large,7.43,low,snowy,72.0,afternoon
2023-11-06,51.8,small,9.81,medium,sunny,43.0,afternoon
2023-10-20,50.42,medium,4.07,high,sunny,92.0,evening
2023-11-25,60.73,large,32.39,low,rainy,28.0,morning
2024-04-02,96.09,large,18.48,medium,rainy,10.0,morning
2024-09-04,88.63,large,48.34,medium,rainy,94.0,evening
2023-12-06,11.78,large,27.15,low,rainy,49.0,morning
2024-07-07,27.33,large,12.65,low,foggy,53.0,morning
2023-10-11,83.48,small,29.65,medium,sunny,5.0,morning
2024-07-20,82.61,small,48.85,low,sunny,47.0,morning
2024-03-24,28.26,small,1.65,high,rainy,88.0,afternoon
2023-12-15,73.33,medium,8.91,high,snowy,51.0,evening
2024-07-16,67.53,small,46.44,low,snowy,63.0,afternoon
2024-02-03,47.88,small,1.72,high,foggy,44.0,afternoon
2023-12-09,20.94,medium,48.19,low,sunny,98.0,afternoon
2023-12-10,88.98,small,31.58,high,sunny,36.0,afternoon
2024-07-07,68.11,small,11.97,medium,sunny,61.0,afternoon
2023-11-24,17.73,small,4.94,medium,sunny,18.0,morning
2024-07-15,70.78,large,5.65,high,snowy,71.0,evening
2024-04-12,74.4,large,41.97,high,sunny,72.0,afternoon
2024-02-05,88.8,medium,41.16,high,foggy,45.0,afternoon
2024-06-26,23.06,medium,41.78,medium,sunny,69.0,afternoon
2024-04-05,98.89,medium,48.05,high,rainy,77.0,evening
2023-09-23,16.19,medium,19.83,low,sunny,38.0,morning
2024-09-07,60.47,medium,45.83,low,rainy,24.0,morning
2024-07-07,66.06,large,8.49,medium,sunny,79.0,afternoon
2024-06-24,42.48,large,46.99,high,rainy,96.0,evening
2024-07-25,48.03,small,12.56,low,rainy,58.0,morning
2024-03-02,89.2,small,20.7,low,sunny,4.0,morning
2024-03-09,64.88,large,26.01,low,foggy,45.0,morning
2023-11-14,50.2,large,40.26,medium,foggy,75.0,afternoon
2024-08-16,13.71,small,19.77,low,rainy,45.0,morning
2024-06-02,1.73,small,17.41,medium,rainy,53.0,afternoon
2023-12-01,13.37,medium,49.15,medium,sunny,52.0,afternoon
2024-02-08,95.66,small,4.19,low,sunny,62.0,afternoon
2023-10-01,76.64,large,1.77,high,sunny,75.0,afternoon
2024-03-25,96.74,medium,3.31,medium,foggy,42.0,afternoon
2024-06-04,4.54,medium,45.75,medium,sunny,99.0,afternoon
2024-01-01,68.34,medium,12.02,low,snowy,55.0,afternoon
2023-12-07,5.39,medium,2.66,high,sunny,76.0,afternoon
2023-12-28,78.42,large,36.57,high,rainy,16.0,afternoon
2024-05-19,38.71,large,32.2,low,sunny,24.0,morning
2024-03-05,10.48,small,39.69,medium,snowy,31.0,afternoon
2023-10-08,57.24,small,26.42,medium,sunny,39.0,morning
2024-07-29,28.73,large,9.27,high,rainy,89.0,evening
2024-09-15,66.3,large,14.88,high,foggy,88.0,evening
2024-08-13,66.16,small,3.53,medium,foggy,2.0,morning
2024-08-22,70.8,large,35.34,low,sunny,16.0,morning
2024-04-15,99.25,large,32.56,medium,rainy,28.0,afternoon
2023-10-02,39.28,medium,34.19,low,sunny,52.0,morning
2024-06-27,47.07,large,48.89,medium,rainy,70.0,afternoon
2024-02-06,80.66,medium,3.48,low,sunny,36.0,morning
2024-01-29,58.26,large,3.72,low,rainy,28.0,morning
2023-11-09,4.69,small,37.05,medium,rainy,49.0,afternoon
2024-07-22,84.46,large,48.65,medium,sunny,82.0,afternoon
2023-12-07,6.1,large,27.36,medium,rainy,56.0,afternoon
2024-04-18,17.91,small,40.73,low,sunny,94.0,afternoon
2024-08-28,11.11,small,30.66,low,rainy,69.0,afternoon
2023-09-21,8.71,small,46.65,medium,rainy,17.0,morning
2024-01-02,3.54,large,10.38,high,snowy,44.0,afternoon
2023-11-10,6.45,small,18.42,high,sunny,7.0,morning
2024-05-03,44.8,large,30.83,low,snowy,97.0,evening
2024-02-21,26.03,small,10.33,high,snowy,56.0,evening
2024-09-11,13.53,large,41.79,low,sunny,9.0,morning
2024-04-22,66.21,small,40.0,high,sunny,18.0,morning
2024-03-11,23.39,small,36.09,medium,snowy,65.0,evening
2024-03-09,2.88,medium,31.2,low,rainy,17.0,morning
2024-01-18,42.42,large,11.35,low,foggy,19.0,morning
2024-07-04,31.73,small,43.56,low,rainy,32.0,morning
,32.54,large,29.09,low,rainy,28.0,morning
,45.08,small,10.99,low,sunny,76.0,afternoon
2024-02-18,67.22,large,36.98,low,sunny,25.0,morning
2023-11-15,62.03,large,2.07,high,rainy,97.0,evening
2024-05-15,93.79,large,11.29,medium,foggy,43.0,afternoon
2024-05-11,52.25,medium,11.73,low,sunny,33.0,morning
2024-04-18,47.78,large,14.94,low,sunny,81.0,afternoon
2024-05-26,22.13,small,2.2,medium,rainy,10.0,morning
2024-02-21,75.78,medium,42.21,medium,rainy,97.0,afternoon
2024-01-19,14.94,large,5.32,medium,sunny,21.0,morning
2024-09-07,49.62,small,41.55,low,sunny,58.0,morning
2024-07-26,42.71,large,9.42,low,rainy,95.0,afternoon
2024-07-03,66.17,medium,42.13,medium,rainy,71.0,afternoon
2024-02-22,91.84,small,1.94,medium,rainy,42.0,afternoon
2023-12-18,94.71,small,39.33,low,sunny,30.0,morning
2024-04-21,17.61,small,26.87,low,snowy,15.0,morning
2024-04-08,26.92,medium,11.21,low,sunny,18.0,morning
2024-02-13,81.35,small,20.62,medium,sunny,46.0,morning
2024-02-29,52.31,large,5.31,medium,sunny,67.0,afternoon
2023-11-13,45.85,large,7.29,medium,sunny,71.0,afternoon
2024-05-05,71.35,small,18.67,low,rainy,33.0,morning
2024-03-17,60.59,medium,20.92,low,snowy,40.0,afternoon
2024-06-28,97.1,small,38.91,high,sunny,80.0,evening
2024-06-01,58.81,small,37.94,low,foggy,25.0,morning
2024-01-11,47.13,small,12.39,low,rainy,78.0,afternoon
2024-03-22,54.74,large,9.6,low,sunny,91.0,afternoon
2023-09-30,81.05,large,8.83,medium,rainy,13.0,morning
2024-09-08,61.65,medium,29.74,medium,foggy,93.0,afternoon
2024-02-03,65.06,medium,29.24,low,sunny,47.0,morning
2024-05-27,97.17,medium,5.69,low,rainy,46.0,morning
2024-08-07,62.22,large,17.35,medium,rainy,3.0,morning
2023-09-22,38.65,large,43.78,low,rainy,59.0,morning
2024-02-13,69.44,large,47.14,low,sunny,46.0,afternoon
2024-04-18,66.29,large,48.61,low,sunny,89.0,afternoon
2024-01-11,2.37,medium,34.83,low,rainy,30.0,morning
2023-10-16,47.27,large,2.37,low,rainy,41.0,morning
2024-08-27,74.55,medium,24.52,low,snowy,67.0,afternoon
2023-10-15,50.41,large,12.54,low,snowy,88.0,afternoon
2024-03-18,78.18,small,44.45,low,rainy,21.0,morning
2023-12-30,45.64,medium,2.6,medium,sunny,47.0,morning
2024-01-06,98.35,medium,6.09,low,rainy,34.0,morning
2024-03-10,30.0,large,14.67,medium,rainy,61.0,afternoon
2023-12-13,10.12,medium,35.19,low,rainy,69.0,afternoon
2024-05-01,43.57,small,46.84,medium,sunny,37.0,afternoon
2024-09-01,54.63,medium,19.71,low,sunny,22.0,morning
2024-05-29,35.56,medium,17.41,low,rainy,15.0,morning
2024-03-14,24.99,small,39.24,low,snowy,23.0,morning
2024-07-04,67.53,large,44.96,medium,sunny,83.0,afternoon
2024-04-08,38.34,large,4.84,low,rainy,28.0,afternoon
2024-07-09,63.51,small,49.31,low,sunny,47.0,morning
2023-12-22,78.13,medium,25.73,medium,sunny,77.0,afternoon
2024-03-29,76.34,large,49.72,high,rainy,79.0,evening
2024-06-26,38.16,large,1.13,low,sunny,70.0,afternoon
2023-12-20,57.22,large,44.6,low,sunny,8.0,morning
2024-03-24,45.52,small,5.39,high,rainy,35.0,afternoon
2024-05-17,87.21,small,39.0,medium,rainy,27.0,morning
2024-05-12,88.0,medium,0.51,low,rainy,50.0,morning
2023-12-27,35.03,small,7.25,low,rainy,85.0,afternoon
2023-10-05,10.08,small,8.47,high,sunny,6.0,morning
2024-03-30,17.59,small,30.56,low,foggy,79.0,afternoon
2024-03-17,37.33,large,34.85,low,sunny,72.0,morning
2024-05-22,56.86,small,4.96,low,foggy,46.0,morning
2024-06-11,66.02,small,20.59,high,sunny,77.0,afternoon
2023-11-27,33.81,large,35.24,low,sunny,30.0,morning
2024-01-17,67.08,small,45.52,low,snowy,77.0,afternoon
2023-09-25,93.84,small,9.88,low,sunny,33.0,morning
2024-03-06,65.55,large,21.52,low,sunny,75.0,afternoon
2024-08-24,16.7,medium,11.79,low,rainy,15.0,morning
2023-11-19,58.39,small,2.33,medium,sunny,44.0,afternoon
2023-11-08,54.65,medium,23.07,medium,foggy,8.0,afternoon
2024-08-20,87.2,medium,21.28,low,rainy,48.0,afternoon
2024-03-27,35.68,medium,41.17,low,sunny,11.0,morning
2024-04-21,42.87,large,44.58,low,foggy,3.0,morning
2024-03-07,60.27,medium,17.99,low,rainy,58.0,afternoon
2024-06-27,52.92,large,35.56,low,sunny,40.0,morning
2024-07-05,72.18,small,29.11,medium,foggy,11.0,morning
2024-05-01,5.0,medium,38.62,low,sunny,51.0,afternoon
2023-12-17,56.79,medium,7.74,low,sunny,98.0,afternoon
2024-03-18,13.05,medium,40.74,medium,sunny,92.0,evening
2024-05-18,32.21,small,30.33,high,sunny,37.0,morning
2023-09-27,66.5,small,38.49,low,sunny,67.0,afternoon
2024-09-15,16584.01,large,21.29,low,sunny,23.0,morning
2024-09-18,31.58,large,0.91,low,sunny,87.0,afternoon
2024-01-01,70.6,large,45.94,medium,snowy,90.0,evening
2024-06-10,65.43,large,36.56,medium,snowy,54.0,afternoon
2024-03-24,10.01,large,34.69,low,sunny,7.0,morning
2024-04-10,58.15,large,23.93,medium,foggy,24.0,afternoon
2024-05-23,15.58,small,2.67,high,snowy,98.0,evening
2024-07-02,25.97,medium,7.32,low,rainy,71.0,afternoon
2024-07-22,46.46,medium,22.21,low,sunny,57.0,morning
2023-10-19,11.83,medium,39.77,high,sunny,34.0,afternoon
2024-06-27,99.37,small,44.55,low,sunny,88.0,afternoon
2024-06-16,17.37,small,23.16,medium,sunny,2.0,morning
,78.35,large,49.75,medium,sunny,93.0,afternoon
2024-04-15,83.15,large,49.0,low,foggy,54.0,afternoon
2024-03-23,99.45,medium,18.5,medium,sunny,14.0,morning
2024-08-23,43.44,medium,3.71,low,sunny,65.0,morning
2024-05-17,87.54,small,24.9,high,sunny,93.0,evening
2024-02-18,95.8,small,48.98,medium,sunny,69.0,afternoon
2023-12-09,18.12,medium,18.61,medium,sunny,95.0,afternoon
2024-06-05,48.46,small,17.9,low,rainy,33.0,morning
2024-07-26,6.94,medium,15.55,high,rainy,91.0,evening
2024-04-06,62.45,medium,47.53,low,sunny,63.0,morning
2024-05-08,58.56,medium,9.82,medium,sunny,26.0,morning
2023-12-13,21.21,medium,22.05,high,rainy,84.0,evening
2024-01-18,79.99,medium,10.62,low,sunny,78.0,afternoon
2024-07-16,4.69,medium,6.03,low,rainy,58.0,afternoon
2023-11-23,80.82,medium,22.11,medium,rainy,93.0,evening
2024-06-26,3.64,large,40.39,medium,sunny,98.0,evening
2024-04-25,66.03,small,0.88,medium,snowy,9.0,afternoon
2024-07-24,8.8,small,24.51,medium,rainy,43.0,afternoon
2024-07-02,25.87,medium,25.54,low,rainy,90.0,afternoon
2024-08-24,72.47,small,4.26,low,rainy,20.0,morning
2024-03-24,28.76,large,48.93,low,sunny,4.0,morning
2024-04-21,51.61,small,10.29,low,sunny,92.0,afternoon
2024-05-29,91.61,large,45.38,low,sunny,58.0,afternoon
2024-04-22,5.91,large,11.85,medium,sunny,28.0,morning
2024-05-19,81.3,medium,26.47,low,sunny,82.0,afternoon
2024-02-11,7.46,small,40.11,medium,sunny,77.0,afternoon
2024-03-06,13.55,small,47.51,low,sunny,34.0,morning
2024-08-09,12.81,large,20.37,medium,foggy,68.0,afternoon
2023-10-06,99.42,medium,3.97,medium,sunny,76.0,afternoon
2024-02-11,18.84,medium,1.64,low,snowy,6.0,morning
2024-04-07,89.78,large,43.75,low,sunny,26.0,morning
2023-11-12,99.1,small,24.2,low,sunny,27.0,morning
2024-09-16,38.99,medium,7.92,medium,sunny,6.0,morning
2024-02-19,63.47,large,23.47,low,rainy,60.0,afternoon
,78.13,medium,11.51,high,sunny,51.0,afternoon
2024-07-17,39.87,large,35.12,medium,sunny,37.0,afternoon
2024-09-07,17.02,medium,20.67,medium,snowy,78.0,afternoon
2024-04-11,43.94,medium,36.54,medium,sunny,14.0,morning
2024-01-28,77.42,medium,38.37,low,sunny,41.0,morning
2024-07-14,78.3,medium,19.02,medium,sunny,51.0,morning
2023-12-09,23.82,large,33.33,high,foggy,18.0,morning
2024-05-31,18.32,medium,38.8,high,foggy,63.0,afternoon
2024-01-16,92.14,small,3.03,medium,rainy,79.0,evening
2024-02-28,5.36,small,10.06,high,rainy,16.0,morning
2024-08-03,73.74,small,49.12,medium,rainy,26.0,morning
2023-12-21,5.6,medium,0.86,low,rainy,14.0,morning
2024-03-07,83.95,small,15.99,high,sunny,14.0,morning
2023-10-10,90.64,medium,39.22,low,rainy,97.0,afternoon
2024-02-21,30.44,medium,16.16,high,sunny,67.0,afternoon
2024-07-23,8.32,large,41.06,low,sunny,92.0,afternoon
2023-12-19,48.59,small,7.05,low,sunny,41.0,morning
2023-12-04,30.55,large,43.9,medium,sunny,15.0,morning
2024-05-04,42.3,medium,23.9,low,sunny,7.0,morning
2024-07-09,66.83,medium,2.33,low,snowy,15.0,morning
2024-08-31,21.77,large,31.35,low,sunny,63.0,morning
2023-11-19,36.34,medium,14.22,low,rainy,74.0,afternoon
2024-01-18,78.47,large,35.17,low,rainy,12.0,morning
2023-10-03,64.73,small,45.19,high,sunny,96.0,evening
2023-09-25,33.3,medium,4.64,medium,rainy,61.0,afternoon
2023-09-28,66.77,medium,12.59,medium,sunny,57.0,afternoon
2024-09-01,76.77,large,19.86,medium,sunny,39.0,afternoon
2024-01-17,59.66,medium,48.02,high,rainy,6.0,morning
2023-10-25,24.71,small,20.57,low,snowy,91.0,evening
2024-03-02,1.02,small,6.11,low,rainy,34.0,morning
2023-11-03,80.48,small,15.23,low,rainy,78.0,afternoon
2023-11-25,82.44,medium,1.46,medium,sunny,52.0,afternoon
2024-06-01,70.06,large,9.96,low,rainy,17.0,morning
2024-09-18,8.58,small,30.68,low,sunny,16.0,morning
2024-01-04,58.94,small,8.85,medium,sunny,37.0,afternoon
2023-10-25,82.28,medium,45.9,low,sunny,42.0,afternoon
2024-05-16,39.58,large,35.81,low,rainy,32.0,morning
2023-10-13,20.6,large,34.57,high,sunny,49.0,afternoon
2024-01-05,59.18,small,22.64,low,rainy,63.0,afternoon
2024-02-22,82.8,large,39.13,high,sunny,36.0,afternoon
2023-09-28,5.84,small,9.78,medium,snowy,91.0,evening
2024-06-02,60.1,medium,22.45,medium,foggy,68.0,afternoon
2024-05-20,64.67,small,49.69,low,sunny,68.0,afternoon
2024-01-14,60.63,medium,14.69,medium,rainy,6.0,morning
2023-10-27,65.35,small,20.55,low,foggy,79.0,afternoon
2024-08-19,63.51,medium,11.41,low,sunny,44.0,morning
2024-08-30,13.91,medium,4.25,high,rainy,94.0,evening
2023-11-12,24.26,large,20.47,low,rainy,55.0,morning
2023-12-18,62.28,small,7.69,medium,sunny,89.0,afternoon
2024-05-13,2.75,medium,25.83,low,sunny,80.0,afternoon
2024-07-05,63.84,small,37.76,high,sunny,58.0,afternoon
2024-01-06,66.87,medium,42.48,low,rainy,58.0,morning
2023-11-09,24.68,small,8.82,low,rainy,34.0,morning
2024-05-27,60.22,large,45.13,high,sunny,52.0,afternoon
2024-06-25,53.87,small,18.29,medium,sunny,82.0,afternoon
2023-11-10,26.81,small,22.67,high,sunny,75.0,afternoon
2023-11-04,46.83,small,29.33,medium,sunny,19.0,morning
2024-02-07,91.05,small,7.88,medium,sunny,43.0,afternoon
2024-09-11,43.23,medium,42.16,medium,foggy,37.0,afternoon
2024-06-06,63.35,large,39.57,low,snowy,95.0,evening
2023-09-28,4.5,medium,23.91,low,sunny,60.0,morning
2024-08-08,8.7,small,16.22,medium,rainy,53.0,afternoon
2023-12-12,9.05,small,25.1,low,sunny,6.0,morning
2024-09-16,78.05,medium,32.89,low,rainy,74.0,afternoon
2024-07-11,35.68,small,35.17,low,rainy,71.0,afternoon
2024-04-25,23.53,large,22.17,low,sunny,83.0,afternoon
2024-08-22,74.99,small,1.81,medium,sunny,56.0,afternoon
2024-08-19,17.83,large,35.79,medium,snowy,82.0,evening
2024-06-10,25.4,small,16.33,low,sunny,98.0,afternoon
2023-12-22,43.66,large,44.0,low,foggy,84.0,afternoon
2024-08-29,33.81,medium,21.37,low,rainy,90.0,afternoon
2023-12-09,58.95,medium,39.89,medium,rainy,40.0,morning
2024-08-27,34.45,small,18.68,medium,sunny,27.0,morning
2023-12-10,39.9,small,18.86,low,sunny,85.0,morning
2024-06-15,86.43,medium,38.25,low,foggy,84.0,afternoon
2024-09-08,88.57,large,27.21,low,snowy,27.0,morning
2024-02-25,82.94,medium,13.19,high,foggy,,afternoon
2024-01-30,86.62,small,42.05,medium,sunny,50.0,afternoon
2024-08-18,57.4,medium,31.68,low,rainy,24.0,morning
2024-01-17,64.98,medium,31.91,high,sunny,42.0,afternoon
2023-11-23,56.16,small,39.3,medium,sunny,75.0,afternoon
2023-11-28,78.77,small,31.71,medium,rainy,6.0,morning
2024-08-09,55.55,small,13.28,low,sunny,,morning
2024-02-08,12.0,medium,1.01,low,sunny,2.0,morning
2023-11-10,81.15,large,39.54,medium,sunny,19.0,morning
2023-12-11,76.3,medium,47.89,low,rainy,27.0,morning
2024-01-24,82.21,large,36.11,low,rainy,15.0,morning
2024-06-24,19.85,large,41.39,high,rainy,49.0,afternoon
2024-07-02,27.89,large,43.26,low,snowy,24.0,morning
2024-06-21,30.28,small,13.02,medium,foggy,93.0,evening
2024-08-16,51.3,small,18.17,low,sunny,41.0,afternoon
2024-04-03,14.25,small,36.83,medium,sunny,50.0,afternoon
2023-11-19,39.15,large,22.25,high,sunny,24.0,morning
2024-09-20,19.03,large,32.02,low,sunny,50.0,morning
2024-09-01,27.21,large,13.83,medium,sunny,77.0,afternoon
2023-10-20,70.93,medium,35.89,low,sunny,57.0,afternoon
2023-10-26,85.63,large,29.91,low,rainy,24.0,morning
2024-04-01,3.27,small,47.9,low,sunny,12.0,morning
2024-05-10,57.02,medium,46.21,medium,sunny,34.0,morning
2023-12-23,4.57,large,28.28,medium,rainy,71.0,afternoon
2024-06-27,9.44,small,12.96,medium,rainy,77.0,afternoon
2023-11-05,70.8,large,19.76,low,sunny,25.0,morning
2023-11-14,73.83,small,37.04,low,sunny,12.0,morning
2024-09-16,81.58,small,21.37,low,snowy,85.0,evening
2024-05-23,47.95,small,41.2,high,foggy,24.0,afternoon
2024-08-12,86.12,large,12.32,medium,sunny,84.0,afternoon
2024-03-23,17.52,small,38.67,low,sunny,75.0,afternoon
2023-10-21,25.72,large,39.35,medium,snowy,98.0,evening
2024-08-16,14.32,small,9.62,medium,sunny,18.0,morning
2024-05-03,79.96,large,4.87,medium,sunny,43.0,afternoon
2023-10-27,23.64,medium,30.27,high,snowy,63.0,evening
2024-06-12,16.4,small,38.84,low,sunny,25.0,morning
2024-04-03,62.69,large,46.92,medium,sunny,12.0,morning
2023-11-22,8.63,large,34.28,low,snowy,40.0,afternoon
2023-12-31,5.45,large,34.32,low,sunny,97.0,afternoon
2024-06-27,11.57,small,21.96,low,sunny,61.0,morning
2023-10-30,1.02,medium,16.18,high,rainy,88.0,evening
2024-02-12,70.0,small,21.41,medium,sunny,37.0,afternoon
2024-03-04,56.66,small,34.99,low,rainy,38.0,morning
2024-06-28,21.78,medium,49.19,medium,sunny,33.0,morning
2024-08-08,24.07,medium,34.43,low,sunny,12.0,morning
